LON     LAT
78.4423286411 6.8824481428
78.3741101663 7.0429504936
78.3113943942 7.1905062531
78.2537385940 7.3261570649
78.2006947291 7.4509570554
78.1517880649 7.5660231664
78.1065649133 7.6724228208
78.0646071457 7.7711397791
78.0253104652 7.8635958129
77.9883740312 7.9504987303
77.9535831913 8.0323535594
77.9191810121 8.1132939596
77.8868031044 8.1894717152
77.8565899904 8.2605562099
98.1790448029 8.4885546156
98.2176657768 8.5092115849
98.1334754196 8.4921710880
98.0944561369 8.4540717868
98.0403923610 8.4195304678
97.9817435756 8.3841406848
97.9203437433 8.3470556805
97.8561883652 8.3080255130
97.7890936818 8.2668532481
97.7187733567 8.2234340299
97.6450108515 8.1778611454
97.5678563902 8.1303481978
97.4878091301 8.0815692242
97.4065960690 8.0341944562
97.3272179552 8.0061749738
97.2617910906 7.9482673022
97.1688633586 7.8895791890
97.0652321318 7.8263569359
96.9540156805 7.7587878404
96.8357345352 7.6862119152
96.7090836611 7.6081926538
96.5716021568 7.5257725292
96.4210183844 7.4416941039
96.2689138668 7.3477857330
96.1092267979 7.2401235021
95.9367477829 7.1319820557
95.7392289949 7.0276083972
95.5544886715 6.8887192951
95.3646802836 6.7635894182
95.1756335261 6.6455780054
94.9992555992 6.5759622048
94.8434498831 6.4393921219
94.6127566140 6.2982010994
94.3743119049 6.1193736805
94.1333099743 5.9695875031
93.9023233202 5.8784641602
93.6654094740 5.7299429861
93.3860325763 5.5419982725
93.0855375189 5.3506755427
92.7736138627 5.1523509829
92.4514193430 4.9462429312
92.1261178792 4.7495139422
91.8153945460 4.6390833055
91.4896894446 4.4311963266
91.1215786866 4.1673652780
90.7227935189 3.9140216400
90.2936527383 3.6890622124
89.8250507189 3.4963957425
89.3151992712 3.3380742059
88.7613350566 3.2258257745
88.1625963097 3.1620492728
87.5480889806 3.1259405955
86.9378728650 3.1145055685
86.4234114673 3.2082580744
85.8493420217 3.1736926502
85.1820425921 3.1213028082
84.5151341564 3.0974801597
83.8833399306 3.0913026492
83.3811599437 3.1742302495
82.8422113828 3.1312757448
82.2340636521 3.0793124059
81.6661034281 3.1115679642
81.1543049967 3.1897160147
80.7285703889 3.3261737892
80.3835339464 3.5277574870
80.1188808187 3.7796558883
79.9279849123 4.0644277363
79.7735301597 4.3636070061
79.6315950523 4.6511457733
79.4978412388 4.9230039136
79.3795277299 5.1756114946
79.3244616697 5.3850111309
79.2153339639 5.5828014580
79.0789456670 5.7980153747
78.9739094572 6.0168188395
78.8843562559 6.2244785829
78.8114236821 6.4172432851
78.7780509248 6.5829429488
78.6639925950 6.7040891818
78.5856628660 6.8586951038
78.5167929286 7.0092879321
78.4525508605 7.1505916192
78.3915532882 7.2826229787
78.3340007554 7.4066526627
78.2809348097 7.5238720063
78.2321653789 7.6342609792
78.1818152477 7.7348787934
78.1300563654 7.8293349501
78.0857029594 7.9169182707
78.0464225702 7.9974705646
78.0118246603 8.0707301166
77.9987031443 8.1331833498
77.9527150009 8.1732174157
77.9334238899 8.2183575087
77.9011900000 8.2406900000
77.8868238962 8.2810081673
98.1720456062 8.5360848057
98.2144788452 8.5433530192
98.1186136309 8.5410308199
98.0787850256 8.5094455969
98.0321483575 8.4783823541
97.9774792782 8.4477302209
97.9180488869 8.4157034130
97.8552897213 8.3816497064
97.7895518320 8.3451694839
97.7206129262 8.3061915559
97.6482705048 8.2651623081
97.5726280806 8.2226528550
97.4939446317 8.1791657723
97.4126178681 8.1362021660
97.3285479899 8.0976853750
97.2419179450 8.0504898883
97.1548319326 7.9951624312
97.0556540965 7.9387525501
96.9470833758 7.8799294587
96.8321059330 7.8169123124
96.7106026568 7.7476740954
96.5796598227 7.6731573662
96.4344190843 7.5976845374
96.2637541297 7.5272798770
96.1082434401 7.4147198152
95.9504180015 7.3178171935
